module_name,classifications,status,strong_target_hits,composite_target_hits,exact_source_files,build_mentions,mt6878_context_hits,strong_examples,composite_examples,source_examples,mt6878_examples
can,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,825,2,,,,"device_modules/drivers/misc/mediatek/cm_mgr/Kconfig:52:This kernel config can be used to enable CM_MGR MT6878. When enable || kernel_modules/gpu/gpu_mali/mali_avalon/mali-r44p1/drivers/gpu/arm/midgard/platform/mt6878/Kbuild:15:# along with this program; if not, you can access it online at"
can_bcm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
can_dev,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
can_gw,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
can_raw,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccci_auxadc,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/eccci/ccci_auxadc.c,
ccci_ccif,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccci_dpmaif,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccci_fsm_scp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccci_md_all,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccci_util_lib,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ccd_rpmsg,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
ccmni,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,6,0,,,device_modules/drivers/misc/mediatek/ccmni/ccmni.c,
cdc_acm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cdc_eem,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cdc_ether,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cdc_ncm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cfg80211,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,7,3,0,,,device_modules/drivers/staging/wlan-ng/cfg80211.c || device_modules/drivers/net/wireless/quantenna/qtnfmac/cfg80211.c || device_modules/drivers/net/wireless/microchip/wilc1000/cfg80211.c || device_modules/drivers/net/wireless/marvell/mwifiex/cfg80211.c || device_modules/drivers/net/wireless/broadcom/brcm80211/brcmfmac/cfg80211.c,
charger_class,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/power/supply/charger_class.c,
charger_cooling,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/thermal/mediatek/charger_cooling.c,
clk_bringup,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_chk_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_common,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_dbg_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_disable_unused,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_fmeter_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_adsp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_bus,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_cam,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_ccu,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_img,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_mdpsys,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_mmsys,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_peri,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_vcodec,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clk_mt6878_vlp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
clkbuf,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,7,0,,,,
cmdq_helper_inf,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/mdp/cmdq_helper_inf.c,
cmdq_platform_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cmdq_sec_drv,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cmdq_test,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/mdp/cmdq_test.c,
connadp,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
connfem,DIRECT_SOURCE_MATCH,EXACT_BUILD_TARGET,1,0,0,31,0,"kernel_modules/connectivity/connfem/BUILD.bazel:17:name = ""connfem"",",,,
conninfra,DIRECT_SOURCE_MATCH,EXACT_BUILD_TARGET,1,0,1,86,0,"kernel_modules/connectivity/conninfra/BUILD.bazel:17:name = ""conninfra"",",,kernel_modules/connectivity/conninfra/conn_drv/connv2/src/conninfra.c,
connscp,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
cpudvfs,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cpufreq_sugov_ext,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
cpuqos_v3,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,2,0,,,,
cqhci,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
dbg_error_flag,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/sda/dbg_error_flag.c,
dbgtop_drm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
device_apc_common,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
device_apc_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
diag,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
drm_display_helper,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
drm_dma_helper,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
dw9781c,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/lens/ois/dw9781c/dw9781c.c,
emi,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,32,0,,,,
emi_fake_eng,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
emi_mpu,DIRECT_SOURCE_MATCH,MENTION_ONLY,0,0,0,1,0,,,,
extcon_mtk_usb,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
extdev_io_class,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/subpmic/extdev_io_class.c,
ffa_v10,LIKELY_PLATFORM_MATCH,COMPOSITE_TARGET_EVIDENCE,0,3,0,3,0,,device_modules/drivers/misc/mediatek/trusted_mem/Makefile:53:ffa_v10-y += ffa_v10/bus.o || device_modules/drivers/misc/mediatek/trusted_mem/Makefile:54:ffa_v10-y += ffa_v10/driver.o || device_modules/drivers/misc/mediatek/trusted_mem/Makefile:55:ffa_v10-y += ffa_v10/smccc.o,,
fhctl,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
flashlight,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,63,0,,,,
fmradio_drv_connac2x,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
focaltech_touch_spi_ft3680,NEEDS_ULEFONE_PORT,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
fpsgo,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
frs,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/performance/frs/frs.c,
ftdi_sio,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ged,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,15,0,,,device_modules/drivers/gpu/mediatek/ged/src/ged.c,
gps_drv_dl_v051,DIRECT_SOURCE_MATCH,EXACT_BUILD_TARGET,1,0,0,1,0,"kernel_modules/connectivity/gps/data_link/plat/v051/BUILD.bazel:10:name = ""gps_drv_dl_v051"",",,,
gps_pwr,DIRECT_SOURCE_MATCH,EXACT_BUILD_TARGET,1,0,0,3,0,"kernel_modules/connectivity/gps/gps_pwr/BUILD.bazel:10:name = ""gps_pwr"",",,,
gps_scp,DIRECT_SOURCE_MATCH,EXACT_BUILD_TARGET,1,0,0,3,0,"kernel_modules/connectivity/gps/gps_scp/BUILD.bazel:10:name = ""gps_scp"",",,,
gpueb,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,16,0,,,,
gz_ipc_mod,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_irq_mod,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_log_mod,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_main_mod,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_trusty_mod,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_tz_system,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gz_virtio_mod,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
gzvm,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
hbt,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,kernel_modules/hbt_driver_cus/src/hbt.c,
hci_uart,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
hf_manager,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/sensor/2.0/core/hf_manager.c,
hidp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
i2c_mt65xx,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ieee802154,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ieee802154_6lowpan,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
ieee802154_socket,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
imgsensor,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,33,0,,,device_modules/drivers/misc/mediatek/imgsensor/src/common/v1_1/imgsensor.c,
imgsensor_glue,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
industrialio_triggered_buffer,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
iommu_debug,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/iommu/iommu_debug.c,
iommu_secure,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/iommu/iommu_secure.c,
iommu_test,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,0,0,,,device_modules/drivers/misc/mediatek/iommu/iommu_test.c,
irq_dbg,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
kfifo_buf,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
kheaders,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
l2tp_core,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
l2tp_ppp,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
last_bus,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/sda/last_bus.c,
leds_mtk,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
leds_mtk_disp,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
leds_rgb_aw2013,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
libarc4,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
load_track,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/performance/load_track/load_track.c,
log_store,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,3,0,,,device_modules/drivers/misc/mediatek/log_store/log_store.c,
lpm_gov_MHSP,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mac80211,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mac802154,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
main2_vcm,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/lens/vcm/v4l2/main2_vcm/main2_vcm.c,
main3_vcm,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/lens/vcm/v4l2/main3_vcm/main3_vcm.c,
main4_vcm,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/lens/vcm/v4l2/main4_vcm/main4_vcm.c,
main_vcm,DIRECT_SOURCE_MATCH,EXACT_SOURCE_BASENAME,0,0,1,1,0,,,device_modules/drivers/misc/mediatek/lens/vcm/v4l2/main_vcm/main_vcm.c,
mali_dmabuf_test_mt6878_r44,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mali_kbase_mt6878_r44,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mali_mgm_mt6878_r44,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mali_prot_alloc_mt6878_r44,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mcupm,LIKELY_PLATFORM_MATCH,MENTION_ONLY,0,0,0,19,0,,,,
md_cooling_all,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mddp,LIKELY_PLATFORM_MATCH,EXACT_SOURCE_BASENAME,0,0,1,3,0,,,kernel_modules/connectivity/wlan/core/gen4m/mgmt/mddp.c,
mdp_drv_mt6878,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mediatek_cpufreq_hw,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mediatek_drm,DIRECT_SOURCE_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mediatek_drm_gateic,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
mediatek_drm_panel_drv,LIKELY_PLATFORM_MATCH,NO_EXACT_EVIDENCE,0,0,0,0,0,,,,
met,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,6,0,0,8,0,"kernel_modules/met_drv_v2/Makefile:30:$(warning Not building met.ko due to CONFIG_MTK_MET_PLF is not set to m, build met default) || kernel_modules/met_drv_v2/Makefile:34:$(warning Not building met.ko due to CONFIG_FTRACE/CONFIG_TRACING is not set, build met default) || kernel_modules/met_drv_v2/Makefile:42:$(warning Not building met.ko due to CONFIG_MODULES is not set, build met default) || kernel_modules/met_drv_v3/Kbuild:24:$(warning Not building met.ko due to CONFIG_MTK_MET is not set to m, build met default) || kernel_modules/met_drv_v3/Kbuild:28:$(warning Not building met.ko due to CONFIG_FTRACE/CONFIG_TRACING is not set, build met default)",,,
met_backlight_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:17:""met_backlight_api/met_backlight_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_backlight_api/Kbuild:5:met_backlight_api-y := default/met_api/met_backlight_api/met_backlight_api.o,kernel_modules/met_drv_v3/met_api/met_backlight_api/met_backlight_api.c || kernel_modules/met_drv_v3/default/met_api/met_backlight_api/met_backlight_api.c,
met_emi_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:18:""met_emi_api/met_emi_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_emi_api/Kbuild:5:met_emi_api-y := default/met_api/met_emi_api/met_emi_api.o,kernel_modules/met_drv_v3/met_api/met_emi_api/met_emi_api.c || kernel_modules/met_drv_v3/default/met_api/met_emi_api/met_emi_api.c,
met_gpu_adv_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:19:""met_gpu_adv_api/met_gpu_adv_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_gpu_adv_api/Kbuild:5:met_gpu_adv_api-y := default/met_api/met_gpu_adv_api/met_gpu_adv_api.o,kernel_modules/met_drv_v3/met_api/met_gpu_adv_api/met_gpu_adv_api.c || kernel_modules/met_drv_v3/default/met_api/met_gpu_adv_api/met_gpu_adv_api.c,
met_gpu_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:20:""met_gpu_api/met_gpu_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_gpu_api/Kbuild:5:met_gpu_api-y := default/met_api/met_gpu_api/met_gpu_api.o,kernel_modules/met_drv_v3/met_api/met_gpu_api/met_gpu_api.c || kernel_modules/met_drv_v3/default/met_api/met_gpu_api/met_gpu_api.c,
met_gpueb_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:21:""met_gpueb_api/met_gpueb_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_gpueb_api/Kbuild:5:met_gpueb_api-y := default/met_api/met_gpueb_api/met_gpueb_api.o,kernel_modules/met_drv_v3/met_api/met_gpueb_api/met_gpueb_api.c || kernel_modules/met_drv_v3/default/met_api/met_gpueb_api/met_gpueb_api.c,
met_ipi_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:22:""met_ipi_api/met_ipi_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_ipi_api/Kbuild:5:met_ipi_api-y := default/met_api/met_ipi_api/met_ipi_api.o,kernel_modules/met_drv_v3/met_api/met_ipi_api/met_ipi_api.c || kernel_modules/met_drv_v3/default/met_api/met_ipi_api/met_ipi_api.c,
met_mcupm_api,LIKELY_PLATFORM_MATCH,EXACT_BUILD_TARGET,1,1,2,4,0,"kernel_modules/met_drv_v3/met_api/BUILD.bazel:23:""met_mcupm_api/met_mcupm_api.ko"",",kernel_modules/met_drv_v3/default/met_api/met_mcupm_api/Kbuild:5:met_mcupm_api-y := default/met_api/met_mcupm_api/met_mcupm_api.o,kernel_modules/met_drv_v3/met_api/met_mcupm_api/met_mcupm_api.c || kernel_modules/met_drv_v3/default/met_api/met_mcupm_api/met_mcupm_api.c,
